time,magx,magy,step_count
8.85083,-5277,-29157,91
8.86095,-5315,-29133,91
8.8708,-5280,-29142,91
8.88084,-5276,-29147,91
8.89077,-5266,-29138,91
8.9009,-5295,-29135,91
8.91085,-5279,-29146,91
8.92091,-5279,-29145,91
8.93094,-5284,-29150,91
8.94075,-5293,-29150,91
8.9509,-7081,-27152,90
8.96085,-9972,-24271,90
8.97083,-6567,-27732,90
8.98081,-8491,-25114,90
8.99073,-9347,-23880,90
9.00081,-8695,-24755,90
9.01092,-9177,-24080,90
9.02078,-8971,-24310,90
9.03087,-9037,-24304,90
9.04077,-9068,-24235,90
9.05096,-9017,-24306,90
9.06085,-9057,-24282,90
9.07074,-9038,-24254,90
9.08073,-9051,-24277,90
9.09071,-9036,-24272,90
9.10088,-9052,-24263,90
9.11095,-9030,-24274,90
9.1209,-9031,-24268,90
9.13099,-9028,-24268,90
9.14093,-9057,-24276,90
9.15093,-10612,-19580,89
9.16093,-9929,-22784,89
9.17093,-11249,-20338,89
9.18093,-10471,-21864,89
9.19087,-10881,-21048,89
9.20096,-10849,-21202,89
9.21093,-10842,-21016,89
9.22087,-10808,-21263,89
9.23097,-10885,-21098,89
9.24095,-10832,-21189,89
9.25076,-10844,-21175,89
9.26098,-10870,-21156,89
9.27072,-10862,-21176,89
9.28071,-10852,-21181,89
9.29074,-10855,-21168,89
9.30088,-10851,-21158,89
9.3109,-10852,-21164,89
9.32091,-10868,-21177,89
9.33093,-10831,-21167,89
9.34074,-10850,-21171,89
9.35085,-13085,-15418,88
9.36095,-11545,-19301,88
9.37077,-12714,-16485,88
9.38067,-11977,-18391,88
9.39072,-12274,-17630,88
9.40065,-12204,-17832,88
9.41081,-12235,-17758,88
9.4207,-12135,-17982,88
9.43094,-12210,-17817,88
9.44088,-12173,-17912,88
9.45086,-12182,-17880,88
9.46091,-12192,-17865,88
9.47077,-12188,-17887,88
9.48084,-12181,-17904,88
9.49085,-12187,-17882,88
9.50086,-12178,-17881,88
9.51091,-12192,-17882,88
9.52087,-12180,-17883,88
9.53091,-12179,-17881,88
9.54093,-12187,-17886,87
9.55096,-14424,-10701,87
9.56092,-14421,-10408,87
9.57071,-12988,-15495,87
9.58085,-14120,-11970,87
9.59072,-14175,-11751,87
9.60095,-13835,-13653,87
9.61094,-13496,-14196,87
9.62087,-13548,-14010,87
9.63094,-13556,-14071,87
9.64092,-13478,-14220,87
9.65093,-13560,-14040,87
9.66082,-13546,-14084,87
9.67071,-13507,-14160,87
9.68086,-13523,-14104,87
9.69075,-13531,-14098,87
9.70079,-13525,-14133,87
9.71091,-13517,-14118,87
9.7209,-13523,-14114,87
9.7309,-13539,-14117,87
9.74091,-13533,-14103,86
9.75091,-15601,-3677,86
9.76095,-15009,-7162,86
9.77088,-15593,-3768,86
9.781,-14987,-7436,86
9.79085,-15685,-3186,86
9.80093,-15028,-7160,86
9.8109,-15533,-4273,86
9.8208,-15248,-6066,86
9.83093,-15404,-5043,86
9.8409,-15321,-5585,86
9.85094,-15360,-5328,86
9.8609,-15359,-5369,86
9.87088,-15338,-5432,86
9.88094,-15358,-5358,86
9.89098,-15358,-5376,86
